                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51432,                 7.8595,                 1.3623,                0.39139,                 1.0922,                0.99844,                      1,                  0.995,                0.87751,                0.92355,                  0.925,                0.92547,                0.51223,                 0.5458,                  5.404,                0.51894,                0.34992,                 1.1635,              0.0001667,              0.0001667,              0.0001667
                      2,                0.42365,                 6.2051,                 1.2842,                0.32922,                 1.0237,                0.99836,                      1,                  0.995,                  0.879,                0.94844,                   0.95,                0.95061,                0.57938,                0.54389,                 5.1649,                0.40216,                 0.3372,                 1.1473,              0.0003499,              0.0003499,              0.0003499
                      3,                0.40511,                  5.883,                 1.2885,                0.32584,                 1.0129,                0.99857,                      1,                  0.995,                0.89564,                0.89872,                    0.9,                0.89628,                0.47862,                0.54007,                 5.8991,                0.37667,                0.32624,                 1.1184,             0.00053238,             0.00053238,             0.00053238
                      4,                0.42711,                 6.5073,                   1.27,                0.33285,                 1.0362,                0.99851,                      1,                  0.995,                0.91501,                0.94855,                   0.95,                0.95081,                0.47539,                 0.5162,                 5.3068,                0.44771,                0.34579,                 1.1017,              0.0007136,              0.0007136,              0.0007136
                      5,                0.43409,                 7.3954,                 1.2967,                0.34835,                 1.0415,                0.99786,                      1,                  0.995,                0.88802,                0.94796,                   0.95,                 0.9524,                0.54315,                0.55612,                 5.1614,                0.48856,                0.36978,                 1.1554,             0.00089302,             0.00089302,             0.00089302
                      6,                0.45089,                 7.0569,                 1.2412,                0.35402,                 1.0245,                0.99831,                      1,                  0.995,                0.85956,                0.94839,                   0.95,                0.96119,                0.46837,                0.64257,                 6.8865,                0.56469,                0.36324,                  1.345,              0.0010701,              0.0010701,              0.0010701
                      7,                0.43152,                 7.7117,                 1.2473,                0.35036,                 1.0176,                0.99742,                      1,                  0.995,                 0.8963,                0.89762,                    0.9,                0.87492,                0.43894,                0.56484,                 5.7997,                0.37261,                0.35327,                 1.1993,              0.0012443,              0.0012443,              0.0012443
                      8,                0.44498,                 8.0763,                 1.2651,                 0.3622,                 1.0199,                0.99334,                      1,                  0.995,                0.87645,                0.91871,                  0.925,                0.90668,                0.41997,                0.62401,                  5.866,                0.36634,                0.42076,                 1.3353,              0.0014152,              0.0014152,              0.0014152
                      9,                0.47457,                 8.3115,                 1.3809,                0.36506,                 1.0509,                0.99672,                      1,                  0.995,                0.86604,                0.84797,                   0.85,                0.81723,                0.27991,                0.63301,                 6.6724,                0.38799,                0.38556,                 1.3755,              0.0015821,              0.0015821,              0.0015821
                     10,                0.45324,                 7.9843,                 1.2858,                0.36634,                 1.0438,                0.99835,                      1,                  0.995,                0.86929,                 0.8737,                  0.875,                0.83601,                0.39767,                0.56652,                 5.8167,                0.41236,                0.37165,                  1.233,              0.0016006,              0.0016006,              0.0016006
                     11,                0.47457,                 8.7811,                 1.2892,                0.36769,                 1.0496,                0.99843,                      1,                  0.995,                0.87212,                0.94848,                   0.95,                0.94856,                0.42691,                0.57698,                 5.4797,                0.51887,                0.37422,                 1.1928,              0.0016006,              0.0016006,              0.0016006
                     12,                0.48274,                 7.9003,                 1.2928,                0.36152,                 1.0494,                0.99813,                      1,                  0.995,                0.88154,                0.97318,                  0.975,                0.97003,                0.48308,                0.52451,                 5.1165,                0.48423,                0.35368,                 1.1143,              0.0015853,              0.0015853,              0.0015853
                     13,                0.48315,                 7.2332,                 1.2213,                0.36495,                 1.0198,                0.99738,                      1,                  0.995,                0.86423,                0.94752,                   0.95,                0.94132,                0.41898,                 0.5445,                 5.8001,                0.52391,                0.36216,                 1.1269,              0.0015685,              0.0015685,              0.0015685
                     14,                0.47446,                 7.8278,                 1.2691,                0.36601,                 1.0469,                0.99857,                      1,                  0.995,                0.87908,                 0.9736,                  0.975,                0.97277,                0.41761,                0.59176,                 6.0615,                0.42547,                 0.4101,                 1.1864,              0.0015502,              0.0015502,              0.0015502
                     15,                0.48295,                 7.7201,                 1.3701,                0.36749,                 1.0483,                0.99849,                      1,                  0.995,                0.88783,                0.94857,                   0.95,                0.94131,                0.42983,                0.56063,                 5.6933,                0.33887,                0.37601,                 1.1407,              0.0015305,              0.0015305,              0.0015305
                     16,                  0.478,                 7.2869,                 1.3267,                0.36388,                 1.0497,                0.99847,                      1,                  0.995,                 0.8842,                0.89862,                    0.9,                0.87753,                 0.5182,                0.57925,                 5.7539,                0.47231,                0.36921,                 1.1566,              0.0015094,              0.0015094,              0.0015094
                     17,                0.47658,                 7.3269,                 1.3143,                0.36884,                 1.0475,                 0.9985,                      1,                  0.995,                0.88734,                0.89865,                    0.9,                0.90632,                0.49459,                0.56175,                 6.3628,                 0.4949,                0.38008,                  1.144,               0.001487,               0.001487,               0.001487
                     18,                0.50171,                 7.7409,                 1.3525,                0.37581,                 1.0662,                0.99795,                      1,                  0.995,                0.89145,                 0.9233,                  0.925,                0.92308,                0.45206,                0.50595,                 5.7779,                0.52203,                0.36208,                 1.1005,              0.0014632,              0.0014632,              0.0014632
                     19,                0.48859,                 7.6443,                 1.3085,                0.36318,                 1.0686,                0.99883,                      1,                  0.995,                0.89825,                0.94243,                  0.925,                0.94188,                0.42238,                0.51416,                  5.698,                0.47168,                 0.3533,                  1.128,              0.0014383,              0.0014383,              0.0014383
                     20,                0.47866,                 6.9531,                 1.3194,                0.36905,                 1.0602,                      1,                0.99925,                  0.995,                0.89964,                0.92496,                0.92446,                0.93203,                0.46064,                 0.5059,                 5.8971,                 0.4762,                0.36066,                 1.1086,              0.0014121,              0.0014121,              0.0014121
                     21,                0.50168,                 7.0037,                 1.2542,                0.37151,                 1.0827,                0.99848,                      1,                  0.995,                 0.9067,                0.92352,                  0.925,                0.93654,                0.49108,                0.49578,                 5.7274,                0.47751,                0.33161,                 1.0963,              0.0013847,              0.0013847,              0.0013847
                     22,                0.47065,                 6.9423,                 1.2525,                0.35771,                  1.049,                0.99855,                      1,                  0.995,                0.90994,                0.94858,                   0.95,                0.94619,                0.55695,                 0.5139,                 5.6575,                0.42122,                0.37314,                   1.11,              0.0013563,              0.0013563,              0.0013563
                     23,                0.48986,                  7.537,                 1.2752,                0.36525,                 1.0544,                0.99848,                      1,                  0.995,                0.89625,                0.94847,                   0.95,                0.94514,                 0.4907,                0.54685,                 5.4786,                0.52976,                0.38865,                 1.1379,              0.0013269,              0.0013269,              0.0013269
                     24,                0.50407,                 7.2143,                 1.2774,                0.37958,                 1.0714,                0.99788,                      1,                  0.995,                0.88601,                0.94793,                   0.95,                0.94746,                0.57031,                0.51945,                 5.0948,                 0.4977,                0.35942,                 1.1142,              0.0012964,              0.0012964,              0.0012964
                     25,                 0.4714,                 6.8365,                 1.3251,                0.37049,                 1.0556,                0.97299,                      1,                0.99329,                0.89675,                0.92585,                   0.95,                0.97106,                0.56444,                0.52255,                 5.0626,                0.46421,                0.34326,                 1.1388,              0.0012651,              0.0012651,              0.0012651
                     26,                0.50775,                 7.3223,                 1.3067,                0.38476,                 1.0824,                0.99583,                      1,                  0.995,                0.87877,                0.92453,                  0.925,                0.93583,                 0.5311,                0.54692,                 5.2222,                0.45415,                0.35579,                 1.1751,              0.0012329,              0.0012329,              0.0012329
                     27,                0.51279,                  6.695,                  1.221,                0.36746,                 1.0878,                0.99821,                      1,                  0.995,                0.90354,                0.97326,                  0.975,                0.97926,                0.55182,                0.52916,                 4.6649,                0.46819,                 0.3587,                 1.1274,              0.0011999,              0.0011999,              0.0011999
                     28,                0.48683,                 6.1954,                 1.3153,                0.36764,                 1.0509,                0.99838,                      1,                  0.995,                0.89605,                0.97342,                  0.975,                0.97009,                0.58109,                0.55371,                 4.3159,                0.40108,                 0.3729,                 1.1338,              0.0011661,              0.0011661,              0.0011661
                     29,                 0.4955,                 6.5755,                 1.2045,                0.36611,                 1.0535,                0.99794,                      1,                  0.995,                0.87336,                0.97299,                  0.975,                0.96218,                0.60154,                0.54915,                 4.1596,                0.38668,                0.36531,                 1.1339,              0.0011318,              0.0011318,              0.0011318
                     30,                 0.4801,                 6.3296,                 1.2209,                0.35839,                 1.0578,                0.99766,                      1,                  0.995,                 0.8671,                0.94778,                   0.95,                0.93059,                0.61042,                0.57427,                 4.5867,                0.35318,                 0.3713,                 1.1808,              0.0010968,              0.0010968,              0.0010968
                     31,                0.46382,                 6.2303,                 1.2032,                0.35563,                 1.0478,                0.99711,                      1,                  0.995,                0.90249,                0.97218,                  0.975,                0.97473,                0.58955,                0.54762,                 4.8092,                0.36292,                0.36229,                 1.1622,              0.0010614,              0.0010614,              0.0010614
                     32,                0.46937,                 6.1616,                 1.2051,                0.34967,                  1.036,                0.99643,                      1,                  0.995,                0.90674,                0.97152,                  0.975,                0.97075,                0.59851,                0.53002,                 4.1858,                0.38405,                0.34188,                 1.1324,              0.0010255,              0.0010255,              0.0010255
                     33,                0.49646,                 6.2796,                 1.2744,                0.36335,                 1.0698,                0.99489,                      1,                  0.995,                0.90601,                0.97002,                  0.975,                0.96419,                0.59544,                0.52297,                 4.0321,                0.41552,                0.33814,                 1.1242,             0.00098917,             0.00098917,             0.00098917
                     34,                0.44933,                 6.4799,                 1.2129,                0.34221,                 1.0381,                0.99454,                      1,                  0.995,                0.90312,                0.96968,                  0.975,                0.96793,                0.58988,                0.53709,                 4.1665,                0.42478,                0.34889,                 1.1346,              0.0009526,              0.0009526,              0.0009526
                     35,                0.46205,                 5.6931,                   1.27,                0.33528,                  1.039,                0.99547,                      1,                  0.995,                0.89457,                0.97058,                  0.975,                0.96725,                0.60753,                0.53428,                 4.0879,                0.34843,                0.36693,                 1.1428,              0.0009158,              0.0009158,              0.0009158
                     36,                0.47394,                 5.9245,                 1.2276,                0.35753,                 1.0463,                0.99746,                      1,                  0.995,                0.89523,                0.97252,                  0.975,                0.98025,                0.60987,                0.55932,                 4.2482,                0.32302,                 0.3838,                 1.1684,             0.00087886,             0.00087886,             0.00087886
                     37,                0.45915,                 6.9944,                 1.2376,                0.36139,                 1.0504,                0.99806,                      1,                  0.995,                0.89511,                0.94815,                   0.95,                0.95682,                0.59902,                0.57044,                  4.461,                0.33678,                0.36634,                  1.174,             0.00084184,             0.00084184,             0.00084184
                     38,                0.46943,                 5.8962,                 1.2642,                0.33905,                 1.0554,                0.99852,                      1,                  0.995,                 0.9046,                0.97356,                  0.975,                0.98218,                0.64697,                0.56917,                 4.4876,                0.30704,                0.34141,                 1.1842,             0.00080481,             0.00080481,             0.00080481
                     39,                 0.4652,                 6.2932,                 1.2297,                0.35837,                 1.0523,                0.99854,                      1,                  0.995,                0.90934,                0.97358,                  0.975,                0.98142,                0.68283,                0.55745,                 4.0122,                 0.3338,                0.33127,                 1.1678,             0.00076787,             0.00076787,             0.00076787
                     40,                0.48018,                 5.9616,                 1.1631,                0.35947,                 1.0588,                0.99853,                      1,                  0.995,                0.90106,                0.97357,                  0.975,                0.98017,                0.66605,                0.55118,                 4.1126,                0.38543,                0.32812,                 1.1749,             0.00073107,             0.00073107,             0.00073107
                     41,                 0.4783,                 6.2303,                  1.243,                0.35309,                 1.0752,                0.99853,                      1,                  0.995,                0.89604,                0.97356,                  0.975,                0.97868,                0.68781,                 0.5583,                 4.0147,                0.39856,                0.31498,                 1.1879,              0.0006945,              0.0006945,              0.0006945
                     42,                0.46767,                 5.7337,                 1.1837,                0.34685,                 1.0428,                0.99857,                      1,                  0.995,                0.88848,                 0.9736,                  0.975,                0.97668,                0.65815,                0.57059,                 4.0006,                0.42188,                0.32926,                 1.1921,             0.00065822,             0.00065822,             0.00065822
                     43,                0.44395,                 5.5444,                  1.219,                0.32148,                 1.0241,                0.99852,                      1,                  0.995,                0.90416,                0.97356,                  0.975,                0.98107,                0.63177,                0.56525,                 4.1743,                 0.4376,                0.32158,                 1.1798,             0.00062231,             0.00062231,             0.00062231
                     44,                0.46922,                 5.5816,                 1.1939,                0.34962,                 1.0379,                0.99858,                      1,                  0.995,                0.91941,                0.97361,                  0.975,                0.97942,                0.63905,                0.55744,                 3.9089,                0.36903,                0.32489,                 1.1578,             0.00058684,             0.00058684,             0.00058684
                     45,                0.43583,                 6.1331,                 1.2503,                0.32263,                 1.0308,                0.99861,                      1,                  0.995,                0.89953,                0.97362,                  0.975,                0.97993,                0.64517,                0.55711,                 3.8563,                0.34921,                0.31246,                 1.1598,             0.00055189,             0.00055189,             0.00055189
                     46,                0.46339,                    6.6,                 1.2105,                0.34415,                 1.0531,                0.99855,                      1,                  0.995,                0.90555,                0.99855,                      1,                  0.995,                0.65715,                0.56682,                 3.7319,                0.32678,                0.31209,                 1.1752,             0.00051752,             0.00051752,             0.00051752
                     47,                0.46029,                 5.7333,                 1.0786,                0.33138,                 1.0415,                0.99858,                      1,                  0.995,                0.89708,                0.99858,                      1,                  0.995,                0.68994,                0.56979,                 3.5681,                0.34088,                0.30763,                 1.1836,             0.00048381,             0.00048381,             0.00048381
                     48,                0.42525,                 4.7425,                 1.1555,                0.31147,                 1.0134,                0.99852,                      1,                  0.995,                0.89771,                0.99852,                      1,                  0.995,                0.68137,                0.55696,                 3.6356,                 0.3476,                0.31202,                 1.1736,             0.00045082,             0.00045082,             0.00045082
                     49,                0.42798,                 5.5477,                 1.1769,                0.31605,                 1.0292,                0.99851,                      1,                  0.995,                0.91323,                0.99851,                      1,                  0.995,                 0.6611,                0.55263,                 3.6407,                0.34975,                0.31519,                 1.1596,             0.00041861,             0.00041861,             0.00041861
                     50,                0.43634,                 5.7354,                 1.1748,                0.32793,                 1.0337,                0.99853,                      1,                  0.995,                 0.9196,                0.99853,                      1,                  0.995,                0.66722,                0.54613,                 3.6497,                0.36299,                0.30674,                 1.1436,             0.00038725,             0.00038725,             0.00038725
                     51,                0.41113,                 4.8403,                 1.1634,                0.30348,                 1.0187,                0.99858,                      1,                  0.995,                0.92293,                0.99858,                      1,                  0.995,                0.66753,                0.54039,                 3.5813,                0.37149,                0.31223,                 1.1382,             0.00035682,             0.00035682,             0.00035682
                     52,                  0.436,                 5.3708,                  1.171,                0.32217,                 1.0366,                 0.9986,                      1,                  0.995,                0.92079,                0.97363,                  0.975,                0.97571,                0.68737,                0.53467,                 3.5038,                0.35746,                0.30675,                 1.1336,             0.00032735,             0.00032735,             0.00032735
                     53,                0.45821,                 5.6498,                 1.0834,                0.33647,                 1.0518,                 0.9986,                      1,                  0.995,                0.91531,                0.97363,                  0.975,                0.97651,                0.69487,                0.52577,                 3.5644,                0.34622,                0.30602,                 1.1261,             0.00029893,             0.00029893,             0.00029893
                     54,                0.41134,                 5.5103,                 1.2328,                0.31302,                 1.0236,                0.99856,                      1,                  0.995,                 0.9117,                 0.9736,                  0.975,                0.97851,                0.68218,                0.52205,                 3.7113,                 0.3536,                0.30077,                 1.1227,             0.00027159,             0.00027159,             0.00027159
                     55,                0.44427,                 5.3406,                 1.1743,                0.33186,                 1.0388,                0.99859,                      1,                  0.995,                0.91295,                0.97362,                  0.975,                0.98061,                0.69753,                 0.5161,                 3.7407,                0.34894,                0.30608,                 1.1206,             0.00024541,             0.00024541,             0.00024541
                     56,                0.42183,                  4.937,                 1.1274,                0.31252,                  1.005,                0.99858,                      1,                  0.995,                0.91238,                0.97361,                  0.975,                0.98058,                0.70098,                0.51373,                 3.7139,                0.34566,                0.30756,                 1.1154,             0.00022043,             0.00022043,             0.00022043
                     57,                0.42359,                 5.1394,                 1.1579,                0.31082,                 1.0438,                 0.9986,                      1,                  0.995,                0.91939,                0.97364,                  0.975,                0.97976,                0.69972,                0.50698,                 3.7393,                0.34635,                0.30435,                 1.1071,              0.0001967,              0.0001967,              0.0001967
                     58,                0.42364,                 5.1099,                  1.124,                0.31425,                 1.0236,                0.99863,                      1,                  0.995,                0.92865,                0.97366,                  0.975,                0.97976,                0.70447,                0.50393,                 3.6853,                0.33756,                0.29951,                 1.1013,             0.00017426,             0.00017426,             0.00017426
                     59,                0.41452,                 4.8822,                 1.1515,                0.31449,                 1.0331,                0.99863,                      1,                  0.995,                0.92703,                0.97366,                  0.975,                0.97992,                0.70809,                0.50437,                   3.64,                0.32965,                0.29633,                 1.1023,             0.00015317,             0.00015317,             0.00015317
                     60,                0.41837,                 5.5732,                 1.2146,                0.31356,                  1.021,                0.99864,                      1,                  0.995,                0.92014,                0.97367,                  0.975,                0.98042,                0.71106,                0.50261,                 3.5993,                0.33826,                0.29668,                 1.1032,             0.00013347,             0.00013347,             0.00013347
                     61,                0.34054,                 2.4794,                0.54322,                0.26488,                0.97787,                0.99862,                      1,                  0.995,                0.92191,                0.97366,                  0.975,                0.97918,                0.69633,                0.49808,                 3.5789,                0.33931,                0.29236,                 1.1054,              0.0001152,              0.0001152,              0.0001152
                     62,                0.31786,                 2.3753,                0.58655,                0.25211,                0.97451,                0.99859,                      1,                  0.995,                0.91649,                0.97363,                  0.975,                0.97658,                0.67672,                0.49758,                 3.5298,                0.32203,                0.29314,                 1.1089,             9.8387e-05,             9.8387e-05,             9.8387e-05
                     63,                0.31925,                 2.4299,                0.51529,                0.24435,                0.97357,                0.99858,                      1,                  0.995,                0.91511,                0.97361,                  0.975,                0.97357,                0.68886,                0.49338,                  3.455,                0.29352,                0.29224,                  1.102,             8.3073e-05,             8.3073e-05,             8.3073e-05
                     64,                0.32854,                 2.3951,                0.57132,                 0.2515,                0.99928,                0.99854,                      1,                  0.995,                0.90558,                0.97357,                  0.975,                0.97332,                0.68765,                0.49126,                 3.3911,                0.28119,                0.29395,                 1.0936,             6.9287e-05,             6.9287e-05,             6.9287e-05
                     65,                0.32853,                 2.3731,                0.59018,                0.24333,                 1.0172,                0.99856,                      1,                  0.995,                0.91049,                 0.9736,                  0.975,                0.97332,                0.70009,                0.48892,                 3.3497,                0.27847,                0.29121,                 1.0879,             5.7056e-05,             5.7056e-05,             5.7056e-05
                     66,                 0.3187,                 2.1932,                0.56705,                0.24054,                 1.0027,                0.99857,                      1,                  0.995,                0.91366,                 0.9736,                  0.975,                0.97326,                0.70032,                0.48887,                 3.3394,                0.28016,                 0.2885,                 1.0876,             4.6407e-05,             4.6407e-05,             4.6407e-05
                     67,                0.31142,                 2.2151,                 0.4849,                0.23872,                0.96638,                0.99857,                      1,                  0.995,                0.91337,                0.97361,                  0.975,                0.97401,                0.70183,                0.48893,                 3.3251,                0.27176,                0.28839,                 1.0874,             3.7359e-05,             3.7359e-05,             3.7359e-05
                     68,                0.33645,                 2.2758,                0.55892,                0.24591,                 1.0135,                0.99856,                      1,                  0.995,                0.91881,                0.97359,                  0.975,                 0.9752,                0.70554,                0.48964,                 3.3093,                 0.2701,                0.28735,                 1.0836,             2.9931e-05,             2.9931e-05,             2.9931e-05
                     69,                0.33801,                 2.2281,                0.52625,                0.24787,                 1.0248,                0.99856,                      1,                  0.995,                0.91377,                0.97359,                  0.975,                0.97439,                0.70513,                0.48965,                 3.3077,                0.27138,                0.28827,                 1.0823,             2.4138e-05,             2.4138e-05,             2.4138e-05
                     70,                0.32098,                 2.3718,                0.54601,                0.24398,                 1.0022,                0.99852,                      1,                  0.995,                0.91356,                0.97356,                  0.975,                0.97428,                0.70332,                0.48994,                 3.3428,                0.26747,                0.29038,                 1.0799,             1.9992e-05,             1.9992e-05,             1.9992e-05
